Process name: screen_8
Created at: Sun Aug  3 01:53:32 2025
At time : Sun Aug  3 01:53:37 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:37 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:37 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:38 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:38 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:38 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:38 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:38 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:38 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:38 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:38 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:38 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:38 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:38 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:39 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:39 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:39 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:39 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:39 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:39 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:39 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:39 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:39 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:39 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:39 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:40 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:40 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:40 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:40 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:40 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:40 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:40 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:40 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:40 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:40 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:40 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:40 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:41 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:41 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:41 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:41 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:41 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:41 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:41 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:41 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:41 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:41 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:41 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:42 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:42 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:42 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:42 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:42 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:42 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:42 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:42 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:42 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:42 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:42 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:43 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:43 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:43 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:43 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:43 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:43 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:43 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:43 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:43 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:43 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:44 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:44 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:44 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:44 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:44 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:44 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:44 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:44 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:44 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:44 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:45 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:45 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:45 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:45 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:45 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:45 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:45 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:45 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:45 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:45 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:46 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:46 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:46 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:46 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:46 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:46 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:46 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:46 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:46 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:46 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:47 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:47 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:47 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:47 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:47 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:47 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:47 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:47 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:47 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:47 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:48 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:48 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:48 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:48 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:48 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:48 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:48 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:48 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:48 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:48 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:49 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:49 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:49 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:49 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:49 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:49 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:49 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:49 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:49 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:49 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:50 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:50 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:50 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:50 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:50 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:50 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:50 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:50 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:50 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:50 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:51 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:51 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:51 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:51 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:51 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:51 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:51 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:51 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:51 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:51 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:52 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:52 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:52 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:52 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:52 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:52 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:52 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:52 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:52 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:52 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:53 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:53 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:53 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:53 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:53 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:53 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:53 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:53 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:53 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:53 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:53 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:53 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:53 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:53 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:54 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:54 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:54 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:54 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:54 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:54 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:54 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:54 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:54 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:54 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:54 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:54 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:54 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:55 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:55 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:55 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:55 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:55 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:55 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:55 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:55 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:55 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:55 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:55 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:55 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:55 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:56 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:56 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:56 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:56 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:56 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:56 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:56 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:56 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:56 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:56 2025 using core 1 : 29 23
At time : Sun Aug  3 01:53:57 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:57 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:57 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:57 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:57 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:57 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:57 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:57 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:57 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:57 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:58 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:58 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:58 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:58 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:58 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:58 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:58 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:58 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:58 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:58 2025 using core 3 : 29 23
At time : Sun Aug  3 01:53:59 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:59 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:59 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:59 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:59 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:59 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:59 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:59 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:59 2025 using core 2 : 29 23
At time : Sun Aug  3 01:53:59 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:00 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:00 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:00 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:00 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:00 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:00 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:00 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:00 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:00 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:00 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:01 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:01 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:01 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:01 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:01 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:01 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:01 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:01 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:01 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:01 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:01 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:01 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:01 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:01 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:01 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:02 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:02 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:02 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:02 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:02 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:02 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:02 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:02 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:02 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:02 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:02 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:02 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:02 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:02 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:03 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:03 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:03 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:03 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:03 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:03 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:03 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:03 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:03 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:03 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:03 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:04 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:04 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:04 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:04 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:04 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:04 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:04 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:04 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:04 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:04 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:05 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:05 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:05 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:05 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:05 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:05 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:05 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:05 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:05 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:05 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:06 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:06 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:06 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:06 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:06 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:06 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:06 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:06 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:06 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:06 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:07 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:07 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:07 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:07 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:07 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:07 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:07 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:07 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:07 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:07 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:08 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:08 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:08 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:08 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:08 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:08 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:08 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:08 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:08 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:08 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:08 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:08 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:09 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:09 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:09 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:09 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:09 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:09 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:09 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:09 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:09 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:09 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:09 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:09 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:09 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:09 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:09 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:10 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:10 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:10 2025 using core 2 : 29 23
At time : Sun Aug  3 01:54:10 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:10 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:10 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:10 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:10 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:10 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:10 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:10 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:10 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:10 2025 using core 1 : 29 23
At time : Sun Aug  3 01:54:11 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:11 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:11 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:11 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:11 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:11 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:11 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:11 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:11 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:11 2025 using core 0 : 29 23
At time : Sun Aug  3 01:54:12 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:12 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:12 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:12 2025 using core 3 : 29 23
At time : Sun Aug  3 01:54:12 2025 using core 3 : 29 23
