Process name: screen_11
Created at: Sat Aug  2 23:55:53 2025

At time : Sat Aug  2 23:55:54 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:54 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:54 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:54 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:54 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:54 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:54 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:54 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:54 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:54 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:56 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:56 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:56 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:56 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:56 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:56 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:56 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:56 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:56 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:56 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:57 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:57 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:57 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:57 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:57 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:57 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:57 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:57 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:57 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:58 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:59 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:59 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:59 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:59 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:59 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:59 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:59 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:59 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:59 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:55:59 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:00 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:00 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:01 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:01 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:01 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:01 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:01 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:01 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:01 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:01 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:02 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:02 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:02 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:02 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:02 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:02 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:02 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:02 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:02 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:02 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:04 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:04 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:04 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:04 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:04 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:04 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:04 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:04 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:04 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:04 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:05 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:05 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:05 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:05 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:05 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:06 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:06 2025 using core 3 : SRTF then RR at Time Slice 11
